Results for task8
Detector, # Keypoints, Time for detection (ms), Descriptor, Time for description (ms), #matches, 
SHITOMASI,118,22.2675,BRISK,2.47563,95, 
SHITOMASI,123,20.667,BRISK,2.35725,88, 
SHITOMASI,120,21.3696,BRISK,2.27943,80, 
SHITOMASI,120,22.4218,BRISK,2.30507,90, 
SHITOMASI,113,19.5028,BRISK,2.26776,82, 
SHITOMASI,114,20.635,BRISK,2.2757,79, 
SHITOMASI,123,21.2114,BRISK,2.78539,85, 
SHITOMASI,111,19.8726,BRISK,2.22322,86, 
SHITOMASI,112,21.4834,BRISK,2.36561,82, 
SHITOMASI,118,22.871,BRIEF,1.47587,115, 
SHITOMASI,123,19.9055,BRIEF,1.62729,111, 
SHITOMASI,120,21.7351,BRIEF,1.39803,104, 
SHITOMASI,120,18.5303,BRIEF,1.40813,101, 
SHITOMASI,113,19.7028,BRIEF,1.4712,102, 
SHITOMASI,114,17.69,BRIEF,1.80199,102, 
SHITOMASI,123,23.7037,BRIEF,1.71537,100, 
SHITOMASI,111,18.3064,BRIEF,1.64756,109, 
SHITOMASI,112,18.8602,BRIEF,1.77877,100, 
SHITOMASI,118,21.785,ORB,1.07599,106, 
SHITOMASI,123,22.7766,ORB,1.07485,102, 
SHITOMASI,120,20.3951,ORB,1.18595,99, 
SHITOMASI,120,17.886,ORB,1.22204,102, 
SHITOMASI,113,20.0652,ORB,1.20782,103, 
SHITOMASI,114,18.3979,ORB,1.12518,97, 
SHITOMASI,123,17.4784,ORB,1.1592,98, 
SHITOMASI,111,18.477,ORB,1.28035,104, 
SHITOMASI,112,19.5416,ORB,1.18556,97, 
SHITOMASI,118,20.1846,FREAK,41.6235,86, 
SHITOMASI,123,13.5587,FREAK,44.0341,90, 
SHITOMASI,120,13.5377,FREAK,41.8094,86, 
SHITOMASI,120,13.7952,FREAK,45.2071,88, 
SHITOMASI,113,14.2639,FREAK,41.2282,86, 
SHITOMASI,114,16.6413,FREAK,41.9338,80, 
SHITOMASI,123,11.8724,FREAK,41.0992,81, 
SHITOMASI,111,12.841,FREAK,42.3708,86, 
SHITOMASI,112,16.3419,FREAK,41.7086,85, 
SHITOMASI,118,13.8613,SIFT,21.2301,112, 
SHITOMASI,123,14.7891,SIFT,18.2039,109, 
SHITOMASI,120,19.5847,SIFT,17.5189,104, 
SHITOMASI,120,13.5895,SIFT,19.3481,103, 
SHITOMASI,113,15.782,SIFT,20.3124,99, 
SHITOMASI,114,13.5836,SIFT,17.0776,101, 
SHITOMASI,123,12.9771,SIFT,17.3651,96, 
SHITOMASI,111,12.1884,SIFT,18.0026,106, 
SHITOMASI,112,13.3545,SIFT,17.1097,97, 
HARRIS,14,17.1444,BRISK,0.528904,12, 
HARRIS,19,15.3275,BRISK,0.53607,10, 
HARRIS,21,17.3436,BRISK,0.556743,13, 
HARRIS,26,19.0849,BRISK,0.565884,15, 
